a,b,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
넘보원 마트,서울 도봉구 도봉로165길 2,서울 도봉구 도봉로165길 2,127.0446773,37.677725,정좌표,1.13201E+18,새주소,서울특별시 도봉구 도봉로165길 2,서울특별시 도봉구 도봉동 596-24,1307,1132052100,도봉1동,1132010800,도봉동
기장슈퍼,부산 기장군 차성동로 69,부산 기장군 차성동로 69,129.2165161,35.2438851,정좌표,2.67103E+18,새주소,부산광역시 기장군 기장읍 차성동로 69,부산광역시 기장군 기장읍 동부리 162-20,46066,2671025000,기장읍,2671025021,기장읍 동부리
로또달인,부산 사상구 모덕로 51 복권판매점,부산 사상구 모덕로 51 복권판매점,128.9818968,35.1821619,정좌표,2.65301E+18,새주소,부산광역시 사상구 모덕로 51,부산광역시 사상구 모라동 727-2,46923,2653059100,모라1동,2653010200,모라동
복권명당 샘,대구 동구 율하동로 36,대구 동구 율하동로 36,128.7014552,35.8628637,정좌표,2.71401E+18,새주소,대구광역시 동구 율하동로 36,대구광역시 동구 율하동 1482,41102,2714072000,안심1동,2714011800,율하동
광명명당복권방,경기 광명시 오리로 1024 1층(광명동),경기 광명시 오리로 1024 1층(광명동),126.8497982,37.4809496,정좌표,4.12101E+18,새주소,경기도 광명시 오리로 1024,경기도 광명시 광명동 158-971,14203,4121054000,광명3동,4121010100,광명동
행복,경기 수원시 영통구 신원로198번길 47-8 상가2호(매탄동),경기 수원시 영통구 신원로198번길 47-8 상가2호(매탄동),127.0615563,37.2545618,정좌표,4.11171E+18,새주소,경기도 수원시 영통구 신원로198번길 47-8,경기도 수원시 영통구 매탄동 510-11,16676,4111753000,매탄3동,4111710100,매탄동
이조박복권방,경기 안양시 만안구 병목안로 126 1층,경기 안양시 만안구 병목안로 126 1층,126.9092629,37.392706,정좌표,4.11711E+18,새주소,경기도 안양시 만안구 병목안로 126,경기도 안양시 만안구 안양동 759-46,14020,4117158100,안양9동,4117110100,안양동
스카이편의점,경기 안양시 만안구 박달로 527,경기 안양시 만안구 박달로 527,126.9112746,37.4027533,정좌표,4.11711E+18,새주소,경기도 안양시 만안구 박달로 527,경기도 안양시 만안구 박달동 74-5,13987,4117162100,박달1동,4117110300,박달동
황실복권방,충남 천안시 동남구 충절로 799,충남 천안시 동남구 충절로 799,127.163198,36.7980365,도로중심좌표,44131,새주소,충청남도 천안시 동남구 충절로 799,충청남도 천안시 동남구,NULL,,,,
이삭,전남 목포시 남악2로 54 남악프라자A동103호,전남 목포시 남악2로 54 남악프라자A동103호,126.4551764,34.8099178,(무료버전 위치정밀도 제한)정좌표,46110,새주소,전라남도 목포시 남악2로 54,전라남도 목포시,NULL,,,,
(개룡역)복 노다지,서울 송파구 오금로44가길 12,서울 송파구 오금로44가길 12,127.1348833,37.4975817,정좌표,1.17101E+18,새주소,서울특별시 송파구 오금로44가길 12,서울특별시 송파구 가락동 167-12,5769,1171063200,가락2동,1171010700,가락동
씨스페이스 응암역점,서울 은평구 연서로 9 센터폴리스 1층 107호,서울 은평구 연서로 9 센터폴리스 1층 107호,126.9155067,37.6000301,정좌표,1.13801E+18,새주소,서울특별시 은평구 연서로 9,서울특별시 은평구 역촌동 85-12,3421,1138062500,역촌동,1138010800,역촌동
꿈하나,대구 서구 팔달로 142 1층 복권방,대구 서구 팔달로 142 1층 복권방,128.5657141,35.8889876,정좌표,2.71701E+18,새주소,대구광역시 서구 팔달로 142,대구광역시 서구 비산동 1210-2,41715,2717059000,비산5동,2717010200,비산동
복권판매소(서문큰장네거리),대구 서구 국채보상로 438,대구 서구 국채보상로 438,128.578738,35.8704756,정좌표,2.71701E+18,새주소,대구광역시 서구 국채보상로 438,대구광역시 서구 내당동 1035-33,41806,2717052500,내당2.3동,2717010100,내당동
세종로또방,세종   용포로 32,세종   용포로 32,127.2786689,36.4708298,도로중심좌표,36110,새주소,세종특별자치시 세종시 용포로 32,세종특별자치시 세종시,NULL,,,,
카베,경기 부천시 부일로221번길 26 삼원타운1층-120,경기 부천시 부일로221번길 26 삼원타운1층-120,126.7551118,37.4895137,정좌표,4119,새주소,경기도 부천시 부일로221번길 26,경기도 부천시,NULL,,,,
태인(금돼지) 복권,경기 성남시 분당구 돌마로 85 제105호(금곡동 동양프라자),경기 성남시 분당구 돌마로 85 제105호(금곡동 동양프라자),127.1113485,37.3503889,정좌표,4.11351E+18,새주소,경기도 성남시 분당구 돌마로 85,경기도 성남시 분당구 금곡동 152,13618,4113566200,금곡동,4113511100,금곡동
아이지에이마트 동명사랑점,경기 안산시 단원구 선부광장북로 36 113호,경기 안산시 단원구 선부광장북로 36 113호,126.8111425,37.3379313,정좌표,4.12731E+18,새주소,경기도 안산시 단원구 선부광장북로 36,경기도 안산시 단원구 선부동 1082,15237,4127360000,선부3동,4127310900,선부동
하이로또복권방,경기 안양시 동안구 관악대로339번길 7,경기 안양시 동안구 관악대로339번길 7,126.9601949,37.4042028,정좌표,4.11731E+18,새주소,경기도 안양시 동안구 관악대로339번길 7,경기도 안양시 동안구 관양동 1406-44,13937,4117355200,관양동,4117310200,관양동
늘~행복나눔(터),경기 이천시 중부대로 139 1층,경기 이천시 중부대로 139 1층,127.4562958,37.2596997,도로중심좌표,41500,새주소,경기도 이천시 중부대로 139,경기도 이천시,NULL,,,,
신불당로또,충남 천안시 서북구 불당21로 40 501동 지1층 B143호,충남 천안시 서북구 불당21로 40 501동 지1층 B143호,127.1040031,36.812132,정좌표,4.41331E+18,새주소,충청남도 천안시 서북구 불당21로 40,충청남도 천안시 서북구 불당동 1613,31156,4413356700,불당2동,4413310800,불당동
알리바이한전공대점,전남 나주시 빛가람로 793 1층,전남 나주시 빛가람로 793 1층,126.7986882,35.0214873,정좌표,4.61701E+18,새주소,전라남도 나주시 빛가람로 793,전라남도 나주시 빛가람동 256-4,58323,4617062000,빛가람동,4617013400,빛가람동
대풍로또판매점,경남 김해시 번화2로 36,경남 김해시 번화2로 36,128.805253,35.1922719,정좌표,4.82501E+18,새주소,경상남도 김해시 번화2로 36,경상남도 김해시 삼문동 579-11,51000,4825062000,장유2동,4825012800,삼문동
토큰박스,서울 강북구 도봉로 334 KFC앞 가판,서울 강북구 도봉로 334 KFC앞 가판,127.0255452,37.6375449,정좌표,1.13051E+18,새주소,서울특별시 강북구 도봉로 334,서울특별시 강북구 번동 446-50,1062,1130559500,번1동,1130510200,번동
한마음,서울 관악구 관악로 211 봉천중앙시장라열4호,서울 관악구 관악로 211 봉천중앙시장라열4호,126.9540456,37.484099,정좌표,1.16201E+18,새주소,서울특별시 관악구 관악로 211,서울특별시 관악구 봉천동 32-2,8744,1162061500,중앙동,1162010100,봉천동
대길 복권방,서울 영등포구 가마산로71길 9 1층(신길동),서울 영등포구 가마산로71길 9 1층(신길동),126.9092671,37.5068328,정좌표,1.15601E+18,새주소,서울특별시 영등포구 가마산로71길 9,서울특별시 영등포구 신길동 257-29,7387,1156065000,신길3동,1156013200,신길동
